Trial-ID,Status,Iteration,activation,batch_size,dropout,learning_rate,num_hidden_units,Objective,avg_train_loss
1,BEST,82,elu,64,0.36210699030057897,0.0007354171896508154,56,0.1542081325314939,0.10695687532424927
1,INTERMEDIATE,0,elu,64,0.3621069903005789,0.0007354171896508,56,0.682499498128891,0.6931936979293823
1,INTERMEDIATE,1,elu,64,0.3621069903005789,0.0007354171896508,56,0.6724786460399628,0.6885100364685058
1,INTERMEDIATE,2,elu,64,0.3621069903005789,0.0007354171896508,56,0.6800168454647064,0.6819391965866088
1,INTERMEDIATE,3,elu,64,0.3621069903005789,0.0007354171896508,56,0.6730133295059204,0.6778177499771119
1,INTERMEDIATE,4,elu,64,0.3621069903005789,0.0007354171896508,56,0.6535374522209167,0.6707473754882812
1,INTERMEDIATE,5,elu,64,0.3621069903005789,0.0007354171896508,56,0.6570875346660614,0.6625110626220703
1,INTERMEDIATE,6,elu,64,0.3621069903005789,0.0007354171896508,56,0.660132110118866,0.6480590462684631
1,INTERMEDIATE,7,elu,64,0.3621069903005789,0.0007354171896508,56,0.5833815336227417,0.6240893125534057
1,INTERMEDIATE,8,elu,64,0.3621069903005789,0.0007354171896508,56,0.5558183193206787,0.6003243684768677
1,INTERMEDIATE,9,elu,64,0.3621069903005789,0.0007354171896508,56,0.6415417492389679,0.5677456378936767
1,INTERMEDIATE,10,elu,64,0.3621069903005789,0.0007354171896508,56,0.5478878319263458,0.5427573561668396
1,INTERMEDIATE,11,elu,64,0.3621069903005789,0.0007354171896508,56,0.48143370449543,0.4848603963851928
1,INTERMEDIATE,12,elu,64,0.3621069903005789,0.0007354171896508,56,0.3937484472990036,0.4331907093524932
1,INTERMEDIATE,13,elu,64,0.3621069903005789,0.0007354171896508,56,0.3364884257316589,0.3729015827178955
1,INTERMEDIATE,14,elu,64,0.3621069903005789,0.0007354171896508,56,0.2740763500332832,0.3175989866256714
1,INTERMEDIATE,15,elu,64,0.3621069903005789,0.0007354171896508,56,0.4315790981054306,0.2616960346698761
1,INTERMEDIATE,16,elu,64,0.3621069903005789,0.0007354171896508,56,0.2381667979061603,0.2323918491601944
1,INTERMEDIATE,17,elu,64,0.3621069903005789,0.0007354171896508,56,0.2822531908750534,0.223478040099144
1,INTERMEDIATE,18,elu,64,0.3621069903005789,0.0007354171896508,56,0.4909549579024315,0.2190509468317031
1,INTERMEDIATE,19,elu,64,0.3621069903005789,0.0007354171896508,56,0.3488399088382721,0.203684252500534
1,INTERMEDIATE,20,elu,64,0.3621069903005789,0.0007354171896508,56,0.2896941751241684,0.1885809689760208
1,INTERMEDIATE,21,elu,64,0.3621069903005789,0.0007354171896508,56,0.3799657672643661,0.1681786984205246
1,INTERMEDIATE,22,elu,64,0.3621069903005789,0.0007354171896508,56,0.5466804057359695,0.1652969315648079
