pos_R [rad],pos_L [rad],tau_R [.],tau_L [.],cur_R [mA.], cur_L [mA.],time [s]
0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000003
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.038859
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.086601
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.134616
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.182579
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.230636
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.278626
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.326717
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.374784
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.422704
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.470759
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.518673
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.566795
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.614655
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.662609
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.710620
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.758815
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.806680
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.854716
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.902701
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.950820
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,0.998779
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,1.046655
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,1.094664
0.007672,-0.007672,-0.000219,0.000219,0.000000,0.000000,1.142682
0.009206,-0.007672,-0.000263,0.000219,0.000000,0.000000,1.190767
0.009206,-0.007672,-0.000263,0.000219,0.000000,0.000000,1.238676
0.009206,-0.007672,-0.000263,0.000219,0.000000,0.000000,1.286754
0.009206,-0.007672,-0.000263,0.000219,0.000000,0.000000,1.334715
0.009206,-0.007672,-0.000263,0.000219,0.000000,0.000000,1.382802
0.010740,-0.007672,-0.000307,0.000219,0.000000,0.000000,1.431064
0.010740,-0.007672,-0.000307,0.000219,0.000000,0.000000,1.478716
0.010740,-0.007672,-0.000307,0.000219,0.000000,0.000000,1.526683
0.010740,-0.007672,-0.000307,0.000219,0.000000,0.000000,1.574865
0.010740,-0.007672,-0.000307,0.000219,0.000000,0.000000,1.622846
0.010740,-0.009206,-0.000307,0.000263,0.000000,0.000000,1.670717
0.010740,-0.009206,-0.000307,0.000263,0.000000,0.000000,1.718833
0.012275,-0.009206,-0.000351,0.000263,0.000000,0.000000,1.766614
0.010740,-0.009206,-0.000307,0.000263,0.000000,0.000000,1.814665
0.012275,-0.009206,-0.000351,0.000263,0.000000,0.000000,1.862650
0.012275,-0.009206,-0.000351,0.000263,0.000000,0.000000,1.910702
0.012275,-0.009206,-0.000351,0.000263,0.000000,0.000000,1.958628
