pos_R [rad],pos_L [rad],tau_R [.],tau_L [.],cur_R [mA.], cur_L [mA.],time [s]
0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000003
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.045201
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.093062
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.141071
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.189067
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.237134
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.285129
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.333191
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.381251
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.429173
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.477134
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.525141
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.572980
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.621063
-0.001534,0.003069,0.000044,-0.000088,0.000000,0.000000,0.669003
-0.003069,0.003069,0.000088,-0.000088,0.000000,0.000000,0.717164
-0.001534,0.001534,0.000044,-0.000044,0.000000,0.000000,0.765177
-0.003069,0.001534,0.000088,-0.000044,0.000000,0.000000,0.813003
-0.003069,0.001534,0.000088,-0.000044,0.000000,0.000000,0.861106
-0.001534,0.001534,0.000044,-0.000044,0.000000,0.000000,0.909110
-0.003069,0.001534,0.000088,-0.000044,0.000000,0.000000,0.957072
-0.003069,0.001534,0.000088,-0.000044,0.000000,0.000000,1.005140
-0.001534,0.001534,0.000044,-0.000044,0.000000,0.000000,1.053312
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.101060
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.149066
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.196984
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.245073
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.293127
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.341128
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.389099
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.437113
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.485085
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.533154
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.581041
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.629047
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.677066
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.724946
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.773045
-0.003069,0.000000,0.000088,-0.000000,0.000000,0.000000,1.821116
-0.003069,-0.001534,0.000088,0.000044,0.000000,0.000000,1.869061
-0.001534,0.000000,0.000044,-0.000000,0.000000,0.000000,1.916986
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,1.965061
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,2.013115
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,2.061058
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,2.108934
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,2.157055
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,2.205042
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.253088
-0.001534,-0.001534,0.000044,0.000044,0.000000,0.000000,2.300980
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.349135
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.397100
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.445004
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.493164
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.541227
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.589083
0.000000,-0.001534,-0.000000,0.000044,0.000000,0.000000,2.637194
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,2.685103
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,2.733097
0.001534,-0.003069,-0.000044,0.000088,0.000000,0.000000,2.781086
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,2.829046
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,2.877097
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,2.925079
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,2.973037
0.001534,-0.001534,-0.000044,0.000044,0.000000,0.000000,3.021171
0.003069,-0.003069,-0.000088,0.000088,0.000000,0.000000,3.069016
0.003069,-0.003069,-0.000088,0.000088,0.000000,0.000000,3.117053
0.004603,-0.004603,-0.000166,0.000166,0.000000,0.000000,3.165027
0.007672,-0.007672,-0.000254,0.000254,0.000000,0.000000,3.212979
0.010740,-0.009206,-0.000377,0.000333,0.000000,0.000000,3.261112
0.018412,-0.018412,-0.000710,0.000749,0.000000,0.000000,3.309048
0.030687,-0.030687,-0.001252,0.001252,0.000000,0.000000,3.357092
0.046031,-0.046031,-0.001907,0.001907,0.000000,0.000000,3.405014
0.064443,-0.064443,-0.002760,0.002760,0.000000,0.000000,3.453192
0.084390,-0.085924,-0.003705,0.003879,-1.000000,1.000000,3.501012
0.104336,-0.112008,-0.004521,0.005593,-1.000000,1.000000,3.549048
0.121214,-0.139626,-0.004991,0.007004,-1.000000,1.000000,3.597033
0.133489,-0.165710,-0.005047,0.008489,-1.000000,1.000000,3.645091
0.142695,-0.193329,-0.005230,0.010827,-1.000000,2.000000,3.693030
0.153436,-0.224016,-0.005595,0.013908,-1.000000,2.000000,3.741206
0.162642,-0.257772,-0.005907,0.017991,-1.000000,3.000000,3.788966
0.170313,-0.294596,-0.006260,0.022795,-1.000000,4.000000,3.837073
