ch0,ch1,read_time
0.000000,0.019729,0.000000
0.000000,0.025907,0.000500
0.000000,0.024328,0.001000
0.000000,0.017032,0.001500
0.000000,0.010575,0.002000
0.000000,0.003653,0.002500
0.000000,-0.006745,0.003000
0.000000,-0.015141,0.003500
0.000000,-0.016221,0.004000
0.000000,-0.010894,0.004500
0.000000,-0.002529,0.005000
0.000000,0.005003,0.005500
0.000000,0.009560,0.006000
0.000000,0.012594,0.006500
0.000000,0.016025,0.007000
0.000000,0.019294,0.007500
0.000000,0.020708,0.008000
0.000000,0.018809,0.008500
0.000000,0.013498,0.009000
0.000000,0.008146,0.009500
0.000000,0.005860,0.010000
0.000000,0.004272,0.010500
0.000000,0.001255,0.011000
0.000000,-0.001113,0.011500
0.000000,-0.002736,0.012000
0.000000,-0.005922,0.012500
0.000000,-0.010533,0.013000
0.000000,-0.013817,0.013500
0.000000,-0.013931,0.014000
0.000000,-0.012478,0.014500
0.000000,-0.011145,0.015000
0.000000,-0.008953,0.015500
0.000000,-0.005676,0.016000
0.000000,-0.002986,0.016500
0.000000,-0.001191,0.017000
0.000000,0.002342,0.017500
0.000000,0.008488,0.018000
0.000000,0.012631,0.018500
0.000000,0.011841,0.019000
0.000000,0.008746,0.019500
0.000000,0.005256,0.020000
0.000000,0.001078,0.020500
0.000000,-0.003378,0.021000
-0.004528,-0.007543,0.021500
-0.017568,-0.012189,0.022000
-0.025485,-0.016339,0.022500
-0.018961,-0.017177,0.023000
-0.014507,-0.015164,0.023500
-0.017444,-0.011339,0.024000
-0.016641,-0.006531,0.024500
-0.014297,-0.004642,0.025000
-0.014887,-0.006755,0.025500
-0.014790,-0.009717,0.026000
-0.013268,-0.012007,0.026500
-0.012816,-0.012907,0.027000
-0.014019,-0.011730,0.027500
-0.015398,-0.010400,0.028000
-0.015988,-0.010897,0.028500
-0.016331,-0.012024,0.029000
-0.016592,-0.011442,0.029500
-0.015085,-0.009382,0.030000
-0.010225,-0.008528,0.030500
-0.005025,-0.009381,0.031000
-0.004054,-0.009767,0.031500
-0.006267,-0.008735,0.032000
-0.008645,-0.006442,0.032500
-0.011816,-0.003478,0.033000
-0.017505,-0.001909,0.033500
-0.025055,-0.002825,0.034000
-0.031625,-0.004519,0.034500
-0.036142,-0.005912,0.035000
-0.040220,-0.008126,0.035500
-0.041945,-0.011279,0.036000
