Trial-ID,Status,Iteration,activation,batch_size,dropout,learning_rate,num_hidden_units,Objective,avg_train_loss
8,BEST,105,elu,64,0.26916942418016315,0.00018559918408325493,59,0.06901594416492364,0.07320957753534724
1,INTERMEDIATE,0,relu,64,0.0157217580968554,0.0002301549633024,39,1.5989773165095935,1.6133092467377823
1,INTERMEDIATE,1,relu,64,0.0157217580968554,0.0002301549633024,39,1.5549337213689631,1.579602590421351
1,INTERMEDIATE,2,relu,64,0.0157217580968554,0.0002301549633024,39,1.3911047198555686,1.4941742769101771
1,INTERMEDIATE,3,relu,64,0.0157217580968554,0.0002301549633024,39,1.0800483389334246,1.2280877174400702
1,INTERMEDIATE,4,relu,64,0.0157217580968554,0.0002301549633024,39,0.8858974738554521,0.9659677540383688
1,INTERMEDIATE,5,relu,64,0.0157217580968554,0.0002301549633024,39,0.6604776815934614,0.7618435228743204
1,INTERMEDIATE,6,relu,64,0.0157217580968554,0.0002301549633024,39,0.5480135868896138,0.5962133974563785
1,INTERMEDIATE,7,relu,64,0.0157217580968554,0.0002301549633024,39,0.4460979347879236,0.4866522797724096
1,INTERMEDIATE,8,relu,64,0.0157217580968554,0.0002301549633024,39,0.3952995051037181,0.430431200236809
1,INTERMEDIATE,9,relu,64,0.0157217580968554,0.0002301549633024,39,0.3975602456114508,0.3829893956824047
1,INTERMEDIATE,10,relu,64,0.0157217580968554,0.0002301549633024,39,0.3644117563962936,0.3636069802976236
1,INTERMEDIATE,11,relu,64,0.0157217580968554,0.0002301549633024,39,0.3340329094366593,0.325071419157633
1,INTERMEDIATE,12,relu,64,0.0157217580968554,0.0002301549633024,39,0.294538525017825,0.2955635022826311
1,INTERMEDIATE,13,relu,64,0.0157217580968554,0.0002301549633024,39,0.3711464662443507,0.284496322274208
1,INTERMEDIATE,14,relu,64,0.0157217580968554,0.0002301549633024,39,0.270233767953786,0.2670875024504778
1,INTERMEDIATE,15,relu,64,0.0157217580968554,0.0002301549633024,39,0.3521888438950885,0.2506891020187518
1,INTERMEDIATE,16,relu,64,0.0157217580968554,0.0002301549633024,39,0.2375958731228655,0.2427382238390969
1,INTERMEDIATE,17,relu,64,0.0157217580968554,0.0002301549633024,39,0.294716020876711,0.2555193579414995
1,INTERMEDIATE,18,relu,64,0.0157217580968554,0.0002301549633024,39,0.2828681468963623,0.2383790864813618
1,INTERMEDIATE,19,relu,64,0.0157217580968554,0.0002301549633024,39,0.2772696160457351,0.2257155861432959
1,INTERMEDIATE,20,relu,64,0.0157217580968554,0.0002301549633024,39,0.2556409551338716,0.2169471355836565
1,INTERMEDIATE,21,relu,64,0.0157217580968554,0.0002301549633024,39,0.2556163201277906,0.210702125437376
1,INTERMEDIATE,22,relu,64,0.0157217580968554,0.0002301549633024,39,0.2600384137847207,0.2056375647463449
1,INTERMEDIATE,23,relu,64,0.0157217580968554,0.0002301549633024,39,0.2600270028818737,0.2024128462483243
1,INTERMEDIATE,24,relu,64,0.0157217580968554,0.0002301549633024,39,0.2174385339021682,0.193728798954952
1,INTERMEDIATE,25,relu,64,0.0157217580968554,0.0002301549633024,39,0.2174817269498651,0.192022599461602
1,INTERMEDIATE,26,relu,64,0.0157217580968554,0.0002301549633024,39,0.2124189158732241,0.1850831659465301
1,INTERMEDIATE,27,relu,64,0.0157217580968554,0.0002301549633024,39,0.2001253170045939,0.1775185577571392
1,INTERMEDIATE,28,relu,64,0.0157217580968554,0.0002301549633024,39,0.2011743303049694,0.1783857346489662
1,INTERMEDIATE,29,relu,64,0.0157217580968554,0.0002301549633024,39,0.2286333224990151,0.1717086557934924
1,INTERMEDIATE,30,relu,64,0.0157217580968554,0.0002301549633024,39,0.2071820599111643,0.1732878192532353
1,INTERMEDIATE,31,relu,64,0.0157217580968554,0.0002301549633024,39,0.1927074251527136,0.1658602306028691
1,INTERMEDIATE,32,relu,64,0.0157217580968554,0.0002301549633024,39,0.1808424917134371,0.1698415910870563
1,INTERMEDIATE,33,relu,64,0.0157217580968554,0.0002301549633024,39,0.1816084770993753,0.1624138428852325
1,INTERMEDIATE,34,relu,64,0.0157217580968554,0.0002301549633024,39,0.1846138330345804,0.1996271444893465
1,INTERMEDIATE,35,relu,64,0.0157217580968554,0.0002301549633024,39,0.1787520399825139,0.1941112880481452
1,INTERMEDIATE,36,relu,64,0.0157217580968554,0.0002301549633024,39,0.1893919435414401,0.1794648157750688
1,INTERMEDIATE,37,relu,64,0.0157217580968554,0.0002301549633024,39,0.2178473963656208,0.1736843484203989
1,INTERMEDIATE,38,relu,64,0.0157217580968554,0.0002301549633024,39,0.1708887852728366,0.164473311566725
1,INTERMEDIATE,39,relu,64,0.0157217580968554,0.0002301549633024,39,0.1676090517165986,0.1609363740355503
1,INTERMEDIATE,40,relu,64,0.0157217580968554,0.0002301549633024,39,0.1764289841733195,0.1582683445658625
1,INTERMEDIATE,41,relu,64,0.0157217580968554,0.0002301549633024,39,0.1886234195394949,0.1539322126929353
1,INTERMEDIATE,42,relu,64,0.0157217580968554,0.0002301549633024,39,0.2606832490048625,0.147299074272557
1,INTERMEDIATE,43,relu,64,0.0157217580968554,0.0002301549633024,39,0.1850441226905042,0.1484800081972669
1,INTERMEDIATE,44,relu,64,0.0157217580968554,0.0002301549633024,39,0.2271367751739242,0.1449705776644916
1,INTERMEDIATE,45,relu,64,0.0157217580968554,0.0002301549633024,39,0.1813561648807742,0.1437317234713857
1,INTERMEDIATE,46,relu,64,0.0157217580968554,0.0002301549633024,39,0.185460438105193,0.1412556215938998
1,INTERMEDIATE,47,relu,64,0.0157217580968554,0.0002301549633024,39,0.175975070588968,0.1390006332317503
