3.933690138025447425e-02,3.490808450271298824e-02,3.332994455493065722e-02,-3.009638104946388282e-02,-1.006172978217012570e-02,6.080139420439811815e-02,1.318416338783778841e-02,-9.494075573707405624e-03,1.441328751925219365e-02,-2.715107124203353095e-02,-7.136176996136178730e-02,-7.509451948814049871e-02,1.697519629732013868e-02,-2.691899049068346983e-02,-9.019960744156785282e-03,-6.007007507676465075e-02,0.000000000000000000e+00
1.241104410195725549e+01,6.779713309780684760e+00,4.790240698767285643e+00,4.180737235750744851e+00,-4.628294407633286589e+00,6.491266981503688527e+00,6.934216903925539022e+00,7.919567298311088521e+00,1.595334094024726923e+01,1.623348615300871955e+01,-3.505260081819027107e+01,1.154283657806691465e+01,1.146441387894498476e+01,2.227513705297746682e+01,4.420369059828272995e+00,-3.314754989167053356e+00,9.703636169433593750e-05
9.663052313078274835e+00,7.656627344313772454e+00,4.765500180716270684e+00,4.569838461438641808e+00,-5.256244102248624372e+00,4.850027848086180704e+00,7.041956741278504239e+00,7.773765925807207822e+00,1.695813994897863708e+01,1.761747034049978566e+01,-3.668764860599803512e+01,1.253440556125970318e+01,1.266260478351153473e+01,2.270392526514511289e+01,4.396741589953717444e+00,-5.358140958514263197e+00,1.809597015380859375e-04
-2.788807932834179937e+00,2.280973134109834266e+00,7.702837922497396406e-01,1.654341172779329128e+00,-3.449350859017778603e+00,-8.702118394511904054e-01,1.844719963900336657e+00,1.367524100405805410e+00,5.932407914831985707e+00,8.553295638139013946e+00,-1.938655743356793693e+01,5.233242229566268833e+00,6.211126433276072056e+00,8.298995631971688880e+00,1.403888078961319730e+00,-5.098133528014637150e+00,2.629756927490234375e-04
-8.534880354759982524e+00,-3.024146470951021293e+00,-2.324927341543954640e+00,-6.962667758409326613e-01,-2.170653584560281235e+00,-2.286787082080954825e+00,-2.084913345731044032e+00,-3.140754825949184870e+00,-2.995386306883374594e+00,2.358387157132590062e+00,-1.096507821062474974e+01,-4.879280458736197090e-01,9.634169499392624125e-01,-4.133525164853013578e-01,-8.357865091256930778e-01,-2.678209435024997642e+00,3.440380096435546875e-04
-3.457655229631725113e+00,-2.488987597839951604e+00,-1.875244401808962680e+00,-3.843930676301667848e-01,-1.011257839265732983e+00,8.419228218155649923e-01,-1.965198653635944037e+00,-2.197223337642907559e+00,-2.677697528071382393e+00,2.734207141522750462e+00,-9.706046505205424779e+00,-3.075701039285325677e-01,-1.497267971408571263e-01,2.093401410715773459e+00,-7.290245353582447407e-01,3.936644974475891345e-01,4.251003265380859375e-04
2.877877734522397812e+00,2.038906598546171622e+00,1.011150374897921145e-01,6.795946997879851459e-01,1.180399459274674712e+00,3.132570510164152555e+00,-5.892633617701282800e-01,3.007333873727524587e-01,1.741022005661201355e+00,4.444070583760117543e+00,-3.127140291569197927e+00,2.028276883143047549e+00,2.565472004591198285e-01,6.593812522424557621e+00,1.605568967242727130e+00,2.856220905831317936e+00,4.811286926269531250e-04
4.919592131331226526e+00,5.112353751048136274e+00,9.123277107407939956e-01,2.013044075678423472e-01,3.464134189050919854e+00,2.832379434539894270e+00,-5.997369634877707245e-01,4.395878642715510543e-01,3.043470806626903169e+00,3.795370913102944499e+00,5.244780864337259985e+00,2.065639959686691451e+00,7.229952864154762793e-01,6.054686631227492732e+00,4.298098209736275876e+00,4.131359013178448336e+00,5.049705505371093750e-04
5.952084674825777633e+00,4.949627420743095030e+00,6.209083227903209323e-01,-1.104108963813054789e+00,4.750324357315674817e+00,2.168954137760186640e+00,-1.076847476992738084e+00,-5.940422826158153757e-01,1.461113677002651601e+00,1.522229713741411583e+00,7.999360621441010011e+00,-1.489284865329842944e-01,1.655090455330226362e+00,1.815186774904882228e+00,4.429709084839459798e+00,3.612531375798949895e+00,5.280971527099609375e-04
6.736940121846896723e+00,2.722310485338660602e+00,3.167939687114705860e-01,-1.425046109246176140e+00,5.114305128566908110e+00,2.372007326067837596e+00,-3.771362898000746311e-01,-3.755882388214150658e-01,1.018584007260787683e+00,-7.339243852595158657e-01,8.286179078011629784e+00,-2.141173472227557273e+00,2.203395683398366778e+00,-2.140825367359968645e+00,1.748262136917103415e+00,1.867752002400839606e+00,5.509853363037109375e-04
3.207022003578175795e+00,-7.135921726639371521e-01,-1.108388367997623081e-01,-8.658834357773703694e-01,4.411812618718697898e+00,2.755752902066201049e+00,8.835750214162519933e-01,3.635672899593805907e-01,1.182897538572125873e+00,-2.501830133156836666e+00,1.009105059710086039e+01,-2.895191108071608177e+00,8.685983072032726904e-01,-4.365368131942959806e+00,-9.326781074445991138e-01,1.192500163629828469e+00,5.741119384765625000e-04
-3.953996208343074414e+00,-3.893683922166115252e+00,-7.927558562208952830e-01,-4.572980572945206101e-01,2.085053134120373741e+00,2.325723690712172775e+00,1.223655425845900480e+00,5.216041398952885044e-02,-1.119776339762349693e+00,-3.979004467094526820e+00,1.058243716638539134e+01,-2.962193767377473641e+00,-1.704970459554715267e+00,-5.583144368447241490e+00,-2.102346564383590799e+00,2.283712647520848460e+00,5.970001220703125000e-04
-8.464964386813836228e+00,-4.629302915059634316e+00,-7.727590892503963804e-01,-4.135907874793048888e-02,-1.640719819223894316e+00,4.212434423055395616e-01,6.562880808977308300e-01,-4.017088887574442047e-01,-4.282459709355225463e+00,-5.248133745647741932e+00,7.996377891961293116e+00,-2.566611001932399994e+00,-3.275588011626498375e+00,-6.147206388889612683e+00,-2.665712064122005120e+00,2.679391711667177489e+00,6.201267242431640625e-04
-7.426706430237350887e+00,-3.071416226347895240e+00,2.729913090686180155e-01,8.215475482633713966e-01,-5.298335713609233721e+00,-2.461612445620815937e+00,8.916951767350433933e-02,3.827305843066938218e-01,-4.242925980622310966e+00,-6.041510812989450585e+00,5.041233970414380039e+00,-1.506632934953304970e+00,-2.864846512570863091e+00,-5.570957242529344100e+00,-2.720680787867682859e+00,7.858133498016841578e-01,6.439685821533203125e-04
-3.398487956250767716e+00,-1.841840798158951964e+00,9.289838125781753053e-01,1.364600036713380149e+00,-6.586819609979326806e+00,-4.442921940013701665e+00,-3.291561111539508810e-01,1.337456139356192786e+00,-1.923331377301857437e+00,-6.024838135752464297e+00,2.482266835089535384e+00,-2.855865044504501959e-01,-1.749948720041457406e+00,-4.083619843303948116e+00,-1.456551723882355542e+00,-1.654057351217610439e+00,6.670951843261718750e-04
5.277214499224553990e-01,-2.282431264337438925e+00,-2.359599183624211394e-02,7.574406824416771711e-01,-4.459440667984063467e+00,-4.458928170850933626e+00,-8.578711309055118139e-01,6.572619895039631954e-01,-1.715124557359911206e+00,-5.180287200755922861e+00,-1.531817604398730381e+00,3.178309547104563038e-02,-1.986884388177038163e+00,-2.723133659637163806e+00,-8.064708265611253424e-02,-2.820536965533852136e+00,6.899833679199218750e-04
2.245986091617844238e+00,-2.838871010493045688e+00,-1.704511218111735671e+00,-3.640720507725858646e-01,-1.133723148050090668e+00,-4.052561526593436270e+00,-1.077154150641436381e+00,-1.141164763451814945e+00,-3.848343561509176780e+00,-3.618805074750385486e+00,-6.518581185648125498e+00,-7.099172835056979380e-01,-3.931859669021347869e+00,-1.675302406117680221e+00,-8.111782126676228000e-01,-3.261515330503714338e+00,7.131099700927734375e-04
8.485400736645443143e-01,-1.581869679287296826e+00,-2.117207868841791019e+00,-7.738970265366182932e-01,6.293689308582455233e-01,-5.228314496333977601e+00,-4.536477441596573623e-01,-1.920962029671546389e+00,-4.144949135897766368e+00,-1.147760322772727548e+00,-1.090586249762399795e+01,-1.085324283884515406e+00,-4.847738230700559647e+00,-2.944115683217036761e-01,-2.906043329770123584e+00,-3.843564239829573292e+00,7.369518280029296875e-04
-1.476631767213101742e+00,7.430819528309717814e-01,-6.489930062583515458e-01,-4.002369355857625655e-01,1.206986802032085748e+00,-6.893029711445585406e+00,4.819516386367349581e-01,-9.617577296246240248e-01,-1.178783732002063767e+00,2.101764585637989402e+00,-1.422748927846863509e+01,1.726261833363347264e-01,-1.913394131930250541e+00,1.109540564601242174e+00,-3.257327538199080941e+00,-4.021216499907095177e+00,7.600784301757812500e-04
