Trial-ID,Status,Iteration,activation,batch_size,dropout,learning_rate,num_hidden_units,Objective,avg_train_loss
3,BEST,66,relu,64,0.2700363186200334,0.000798285353263609,56,0.44615793228149414,0.44240452647209166
1,INTERMEDIATE,0,relu,32,0.0684787293101768,0.0001277623308092,37,0.6959078907966614,0.6907378077507019
1,INTERMEDIATE,1,relu,32,0.0684787293101768,0.0001277623308092,37,0.6904175877571106,0.6977854490280151
1,INTERMEDIATE,2,relu,32,0.0684787293101768,0.0001277623308092,37,0.6933527191480001,0.6902223229408264
1,INTERMEDIATE,3,relu,32,0.0684787293101768,0.0001277623308092,37,0.6867305437723795,0.6972355008125305
1,INTERMEDIATE,4,relu,32,0.0684787293101768,0.0001277623308092,37,0.6869664589564005,0.696883499622345
1,INTERMEDIATE,5,relu,32,0.0684787293101768,0.0001277623308092,37,0.6892693241437277,0.6910285830497742
1,INTERMEDIATE,6,relu,32,0.0684787293101768,0.0001277623308092,37,0.6901467641194662,0.6967093646526337
1,INTERMEDIATE,7,relu,32,0.0684787293101768,0.0001277623308092,37,0.6878668268521627,0.69114391207695
1,INTERMEDIATE,8,relu,32,0.0684787293101768,0.0001277623308092,37,0.6901523669560751,0.6957330286502839
1,INTERMEDIATE,9,relu,32,0.0684787293101768,0.0001277623308092,37,0.6909305055936178,0.6902818500995636
1,INTERMEDIATE,10,relu,32,0.0684787293101768,0.0001277623308092,37,0.6901254057884216,0.6910996615886689
1,INTERMEDIATE,11,relu,32,0.0684787293101768,0.0001277623308092,37,0.6884600520133972,0.6955328106880188
1,INTERMEDIATE,12,relu,32,0.0684787293101768,0.0001277623308092,37,0.6899472872416178,0.6937133252620697
1,INTERMEDIATE,13,relu,32,0.0684787293101768,0.0001277623308092,37,0.6903423269589742,0.6924157798290252
1,INTERMEDIATE,14,relu,32,0.0684787293101768,0.0001277623308092,37,0.6893075108528137,0.692432415485382
1,INTERMEDIATE,15,relu,32,0.0684787293101768,0.0001277623308092,37,0.690565804640452,0.6907024264335633
1,INTERMEDIATE,16,relu,32,0.0684787293101768,0.0001277623308092,37,0.6907253464063009,0.6923673629760743
1,INTERMEDIATE,17,relu,32,0.0684787293101768,0.0001277623308092,37,0.6917670567830404,0.6911295056343079
1,INTERMEDIATE,18,relu,32,0.0684787293101768,0.0001277623308092,37,0.6919288237889608,0.6900095045566559
1,INTERMEDIATE,19,relu,32,0.0684787293101768,0.0001277623308092,37,0.692013661066691,0.6931201100349427
1,INTERMEDIATE,20,relu,32,0.0684787293101768,0.0001277623308092,37,0.6911758184432983,0.6926329016685486
1,INTERMEDIATE,21,relu,32,0.0684787293101768,0.0001277623308092,37,0.6916000048319498,0.691530179977417
1,INTERMEDIATE,22,relu,32,0.0684787293101768,0.0001277623308092,37,0.6904149055480957,0.6908605337142945
1,INTERMEDIATE,23,relu,32,0.0684787293101768,0.0001277623308092,37,0.6910871863365173,0.6897854566574096
1,INTERMEDIATE,24,relu,32,0.0684787293101768,0.0001277623308092,37,0.6912916700045267,0.6913466274738311
1,INTERMEDIATE,25,relu,32,0.0684787293101768,0.0001277623308092,37,0.6912389993667603,0.689781105518341
1,INTERMEDIATE,26,relu,32,0.0684787293101768,0.0001277623308092,37,0.691122829914093,0.6905169367790223
1,INTERMEDIATE,27,relu,32,0.0684787293101768,0.0001277623308092,37,0.6913167436917623,0.6903101980686188
1,INTERMEDIATE,28,relu,32,0.0684787293101768,0.0001277623308092,37,0.6906102299690247,0.6902833223342896
1,INTERMEDIATE,29,relu,32,0.0684787293101768,0.0001277623308092,37,0.6910505890846252,0.6887693464756012
1,INTERMEDIATE,30,relu,32,0.0684787293101768,0.0001277623308092,37,0.6933097441991171,0.6890503287315368
1,INTERMEDIATE,31,relu,32,0.0684787293101768,0.0001277623308092,37,0.6923166910807291,0.6886982083320617
1,INTERMEDIATE,32,relu,32,0.0684787293101768,0.0001277623308092,37,0.6911249955495199,0.692723959684372
1,INTERMEDIATE,33,relu,32,0.0684787293101768,0.0001277623308092,37,0.6950316429138184,0.6839751482009888
1,INTERMEDIATE,34,relu,32,0.0684787293101768,0.0001277623308092,37,0.6911377906799316,0.6936026036739349
1,INTERMEDIATE,35,relu,32,0.0684787293101768,0.0001277623308092,37,0.6946881214777628,0.6853710532188415
1,INTERMEDIATE,36,relu,32,0.0684787293101768,0.0001277623308092,37,0.6967393557230631,0.6886037111282348
1,INTERMEDIATE,37,relu,32,0.0684787293101768,0.0001277623308092,37,0.6961137255032858,0.6945519208908081
1,INTERMEDIATE,38,relu,32,0.0684787293101768,0.0001277623308092,37,0.6982443531354269,0.6966225445270539
1,INTERMEDIATE,39,relu,32,0.0684787293101768,0.0001277623308092,37,0.691352109114329,0.6934477508068084
1,INTERMEDIATE,40,relu,32,0.0684787293101768,0.0001277623308092,37,0.6900656620661417,0.6864719152450561
1,INTERMEDIATE,41,relu,32,0.0684787293101768,0.0001277623308092,37,0.695352574189504,0.6862708747386932
1,INTERMEDIATE,42,relu,32,0.0684787293101768,0.0001277623308092,37,0.6985043088595072,0.6888697981834412
1,INTERMEDIATE,43,relu,32,0.0684787293101768,0.0001277623308092,37,0.6922647356987,0.6920501351356506
1,COMPLETED,43,relu,32,0.0684787293101768,0.0001277623308092,37,0.6867305437723795,0.6972355008125305
2,INTERMEDIATE,0,elu,16,0.1995694069757581,0.0002205964649879,41,0.6887686967849731,0.6947255730628967
2,INTERMEDIATE,1,elu,16,0.1995694069757581,0.0002205964649879,41,0.6900437951087952,0.693790570685738
2,INTERMEDIATE,2,elu,16,0.1995694069757581,0.0002205964649879,41,0.6917450904846192,0.6919344632249129
2,INTERMEDIATE,3,elu,16,0.1995694069757581,0.0002205964649879,41,0.691001808643341,0.6943055485424242
2,INTERMEDIATE,4,elu,16,0.1995694069757581,0.0002205964649879,41,0.6911032438278198,0.6912871975647775
2,INTERMEDIATE,5,elu,16,0.1995694069757581,0.0002205964649879,41,0.6910613656044007,0.69083130045941
2,INTERMEDIATE,6,elu,16,0.1995694069757581,0.0002205964649879,41,0.6931434512138367,0.688322945644981
2,INTERMEDIATE,7,elu,16,0.1995694069757581,0.0002205964649879,41,0.69412921667099,0.6897966108824077
2,INTERMEDIATE,8,elu,16,0.1995694069757581,0.0002205964649879,41,0.6967736721038819,0.6904760379540292
2,INTERMEDIATE,9,elu,16,0.1995694069757581,0.0002205964649879,41,0.6994964838027954,0.687066840498071
2,INTERMEDIATE,10,elu,16,0.1995694069757581,0.0002205964649879,41,0.6963494062423706,0.6836039486684298
2,INTERMEDIATE,11,elu,16,0.1995694069757581,0.0002205964649879,41,0.6981980919837951,0.6911192003049349
2,INTERMEDIATE,12,elu,16,0.1995694069757581,0.0002205964649879,41,0.6955957531929016,0.6848921367996618
2,INTERMEDIATE,13,elu,16,0.1995694069757581,0.0002205964649879,41,0.6974404931068421,0.6914518004969546
2,INTERMEDIATE,14,elu,16,0.1995694069757581,0.0002205964649879,41,0.6980378031730652,0.6864007805523119
2,INTERMEDIATE,15,elu,16,0.1995694069757581,0.0002205964649879,41,0.6976180911064148,0.6888324524226942
2,INTERMEDIATE,16,elu,16,0.1995694069757581,0.0002205964649879,41,0.6923285841941833,0.686457445746974
2,INTERMEDIATE,17,elu,16,0.1995694069757581,0.0002205964649879,41,0.6966089844703675,0.6892590679620442
