ch_0,ch_1,ch_2
-0.015875379176577553,0.029090848329360597,0.0037814891129528405
-0.014591432773158886,0.025598779757274315,0.006551643764396431
-0.013871275768906344,0.019843662812490948,0.004509943664743332
-0.012257687558303587,0.012259062714292668,-0.003618654545789468
-0.009598477845429443,0.006767767899873434,-0.01382066693622619
-0.006168585514387814,0.00514989278599387,-0.020653646060964093
-0.004344982244219864,0.004005751179647632,-0.025218840164598078
-0.0074167182901874185,0.001914806944114389,-0.029556806111941114
-0.013050181223661639,0.00021829177399013133,-0.032683783501852304
-0.01683634218352381,0.0012693194548774045,-0.03136546365567483
-0.01862842691480182,0.0020100956135138404,-0.02811622471199371
-0.018764128981274553,0.000600409691742243,-0.026509751478442922
-0.020022491298732348,-0.00160461138420942,-0.02389306973782368
-0.023591248464072123,-0.004500726845435565,-0.020978148313588463
-0.02762968506431207,-0.009843917723628692,-0.019968765627709217
-0.029858894777134992,-0.01691461329755839,-0.020257912183296867
-0.030588675144826993,-0.02311988100700546,-0.0222618746192893
-0.03189562994521111,-0.02584989124443382,-0.025103467123699374
-0.03603519144235179,-0.024869419576134533,-0.025194998670485802
-0.03895661939168349,-0.021241918148007244,-0.01988502117455937
-0.03818877667072229,-0.019230352336307988,-0.010435022886667866
-0.03542760168784298,-0.018984408598043956,-0.002868534238587017
-0.033559837902430445,-0.016912692444748245,-0.005550157766265329
-0.03614914749050513,-0.008937849088397343,-0.009700918781163637
-0.039660757465753704,-5.049110995969386e-05,-0.005064004653831944
-0.03887111961375922,0.004631520823750179,-0.00019038770915358327
-0.031679945095675066,0.0071821386882220395,-0.009661310286901426
-0.022287968022283167,0.00820598506834358,-0.044033582526026294
-0.016663656424498186,0.006682989805995021,-0.08563022856833413
-0.017295249563176185,0.0028070048756489996,-0.10017531167250127
-0.021584621208603494,-0.0010380582580182818,-0.08213338878704235
-0.02675960786291398,-0.0036882242966385093,-0.05616284397547133
-0.03212100637028925,-0.006359251074172789,-0.05012900146539323
-0.036047003959538415,-0.008093621545413043,-0.07012431160546839
-0.039322476368397474,-0.008849748155626003,-0.09863985178526491
-0.041262108425144106,-0.011963273209403269,-0.10878033208427951
-0.04022981011075899,-0.01285605594603112,-0.09245717228623107
-0.03813333387370221,-0.012001631148450542,-0.06175450107548386
-0.03602115612011403,-0.009326161489298102,-0.02703725840547122
-0.03318791277706623,-0.006896845661685802,0.005970354322926141
-0.030970644729677588,-0.006470618245657533,0.03050769737455994
-0.027950663934461772,-0.0070544410846196115,0.04373309639049694
-0.023522594347014092,-0.0066486541072663385,0.048347512347390875
-0.0203921790671302,-0.004537583663477562,0.04637110396288335
-0.018222022845293395,1.8073642138460855e-05,0.038821654015919194
-0.015025288121250924,0.005925603545620106,0.028825306799262762
-0.013403785487753339,0.01051107574312482,0.02042010601144284
-0.015433110092999414,0.012154227079008706,0.014331009879242629
-0.019456760128377937,0.013935940842202399,0.009585239240550436
-0.019044649889110588,0.01501050701335771,0.007438480679411441
-0.01501415954408003,0.013647621926793363,0.008478068593831267
-0.010777462193800602,0.011835557415906806,0.00885238387127174
-0.006794622549932683,0.011193540558451787,0.0029462250950018642
-0.0042689662222983316,0.009304231753048953,-0.004630953753803624
-0.005467516984936083,0.007581037607451435,-0.008804709977994207
-0.009318539923697244,0.008590467587055173,-0.010274370652041398
-0.015336745491367765,0.011427924619056284,-0.013868681890016887
-0.021539823137572967,0.013362284335016739,-0.020866060367552564
-0.025181872842949815,0.014514638678519987,-0.024562399630667642
-0.0270860837190412,0.015718122085672803,-0.02297656646987889
-0.03002647281391546,0.01580612843099516,-0.02247528755106032
-0.03249043220421299,0.015124413039302453,-0.025888597519951873
-0.030882325518177822,0.013757521628576797,-0.03514559648465365
-0.026261393941240385,0.007900422133388929,-0.047899891796987504
-0.02386689266131725,-0.0014154992413750733,-0.058807432651519775
-0.0232577931456035,-0.007876774361648131,-0.0618327539996244
-0.02231397775176447,-0.010228837709291838,-0.05589743159362115
-0.020587984181474894,-0.010521138392505236,-0.04890650961897336
-0.01987894756894093,-0.012268055797903799,-0.04712294685305096
-0.018985008864547126,-0.016280955605907366,-0.049059188313549384
-0.01638583307794761,-0.020392735677887686,-0.04905800597043708
-0.013286542525747791,-0.022840200472273864,-0.04757951683131978
-0.012924198927066755,-0.024492681404808536,-0.04780141171067953
-0.014961569831939414,-0.02698951902857516,-0.04987215652363375
-0.016345888070645742,-0.028902617486892268,-0.04986759813618846
-0.01629795769986231,-0.029549815735663287,-0.047853820433374494
-0.01654345032875426,-0.027750096705858596,-0.04466284372028895
-0.01807081207516603,-0.026557148885331117,-0.042565210605971515
-0.01869177503976971,-0.02783316813292913,-0.04104238178115338
-0.019574294128688052,-0.027038195185014047,-0.04010105840279721
-0.021893523808103055,-0.02092340037052054,-0.03719612504937686
-0.02388392749708146,-0.012835085726692341,-0.03389845005585812
-0.02363081875955686,-0.006635967110923957,-0.03108938835794106
-0.023108075765776448,-0.002259378788949107,-0.02839624539774377
-0.02593572025944013,0.0011203248959645862,-0.02679541830730159
-0.030597977456636727,0.0036189082948112627,-0.02838314503605943
-0.03184919114573859,0.005839940968144219,-0.03176140307914466
-0.030713574233232066,0.00620639048065641,-0.03002670746354852
-0.030211474950192496,0.004443757006811211,-0.022126032490632497
-0.028901780751766637,0.002594823627077858,-0.017270047464990057
-0.024560427846154198,0.005493545359058771,-0.016576186681049876
-0.02245845644210931,0.013261224921734538,-0.016038500689319335
-0.023503020202042535,0.019995053662569262,-0.014590616046916693
-0.02524078263377305,0.02142675657523796,-0.01382255504722707
-0.025331159122288227,0.019362885723239742,-0.014534833098878153
-0.024449136617477052,0.01650639569561463,-0.01526472988189198
-0.025014274797285907,0.01178628190245945,-0.016070045603555627
-0.027438038159743883,0.005434994363895385,-0.018137827282771468
-0.029182123398641124,-0.0024558880795666482,-0.0230149435083149
-0.029941260436316952,-0.012813187822757754,-0.030405362849705853
-0.0314604039886035,-0.022946831450099126,-0.037333793443394825
-0.036999375879531726,-0.03132115307380445,-0.0404484526370652
-0.041783085180213675,-0.03708174335770309,-0.03727260627783835
-0.043304062273819,-0.0405870086979121,-0.030671257263747975
-0.04045816604048014,-0.042218136513838544,-0.025090037524932995
-0.036451896448852494,-0.04135569906793535,-0.02106635474774521
-0.03625864701461978,-0.038787304220022634,-0.01792487091734074
-0.03635754910646938,-0.03525494321365841,-0.014768944311072119
-0.033590971725061536,-0.03322961492813192,-0.0150758569361642
-0.02921507621067576,-0.03471216041361913,-0.019037219317397103
-0.023779184630257078,-0.038064681575633585,-0.019194503693142906
-0.01998289553739596,-0.03722231849678792,-0.007485694823117228
-0.018510323570808396,-0.0274088579317322,0.00997528786683688
-0.017482045223005116,-0.0172434447449632,0.015911382433841936
-0.017282180124311708,-0.011439066838647705,0.006470012522186153
-0.01665086529101245,-0.008330163836944848,-0.007382951025647344
-0.014769503650313709,-0.0048509673433727585,-0.014916340660420246
-0.010054292033601087,0.0007498546210626955,-0.01431677537766518
-0.007629490937688388,0.005843752205691999,-0.012533977496786974
-0.01197240999317728,0.006654603566857986,-0.018128335796063766
-0.01844387224991806,0.004092054496140918,-0.02934561052825302
-0.021151285181986168,0.0015011179357315996,-0.034738273825496435
-0.019834171325783245,0.0011486023367979215,-0.03148231917293742
-0.01999519190576393,0.0028665085665124934,-0.02941189995908644
-0.022175714548211545,0.004957871169608552,-0.033075139072025195
-0.024179787942557596,0.005471553322422551,-0.03814672163571231
-0.026488729417906143,0.003680479039758211,-0.042044361180160195
-0.029455091862473637,-0.00023281928918095218,-0.045087977923685685
-0.033899032132467255,-0.003322866859889473,-0.04331992386141792
-0.03643189847934991,-0.004195682777208276,-0.03543993807397783
-0.032217081752605736,-0.0022589460968447383,-0.026118186724488623
-0.024609391402918845,-0.0009046359537023818,-0.023513650376116857
-0.0167386624525534,-6.7047341012482775e-06,-0.027997664801659994
-0.009970954124582931,0.003058931497434969,-0.03377200846443884
-0.004771351541421609,0.010079052117362153,-0.03260789526393637
0.0002993876364598691,0.01585177051310893,-0.023020638764137402
0.0021919959181104787,0.015537329090875573,-0.011689863640640397
0.0005871779080734996,0.009441329893888906,-0.005994918865326326
-0.004730432920041494,0.0038602647691732273,-0.0048144706852326635
-0.012222717487020418,0.0025235117391275708,-0.0009827274425333599
-0.01859184521890711,0.00646195212539169,0.005246614364295965
