ch_0,ch_1,ch_2
-0.031132916774367914,-0.0020603815755748656,-0.030909890483599156
-0.029275606721057557,-0.0009158849252344226,-0.030190196412149817
-0.026567104214336723,0.0003697744546116155,-0.02971527101180982
-0.0245791525230743,0.0007167067792579473,-0.029257651476655155
-0.024773895347607322,0.0013013054740440566,-0.02904285429394804
-0.025026605726452544,0.0016377811107304296,-0.0290330353891477
-0.024992563339765184,5.344958253772347e-05,-0.030231456548790447
-0.025187386199831963,-0.0016317925428666058,-0.0300582469208166
-0.02561938345024828,-0.0021334235498216003,-0.02915889854193665
-0.024472838049405254,-0.0010787118753796676,-0.027735435651266016
-0.023919685190776363,0.000246477981136195,-0.026813100703293458
-0.02373168354097288,0.0020834152110182913,-0.027963216780335642
-0.02375705480517354,0.002422292254777858,-0.03037621900148224
-0.02355246942897793,0.002773341066131252,-0.03117768937954679
-0.0228265726036625,0.00336629773300956,-0.02845105336746201
-0.02085967207676731,0.0031372196644952055,-0.023564998627989553
-0.01835267357819248,0.0018166811059927568,-0.018158376406063326
-0.017409354768460616,0.00045174229512667807,-0.015336028809542768
-0.017267577277380042,-0.00033657605058579065,-0.016500775018357672
-0.01773644362401683,0.00033378117336724245,-0.016670561308274046
-0.01699889799056109,0.000523384073858324,-0.014601379007217474
-0.016968977433862165,-0.000853465280670207,-0.013595227756013628
-0.016837606381159276,-0.001109914933294931,-0.012890522157249507
-0.01563068144605495,-0.0005708218395739095,-0.012295544365770184
-0.016332331142621115,-0.0009692295179775101,-0.011771192475862335
-0.01997037725232076,-0.0025677227313281037,-0.012415118362696376
-0.02261514418933075,-0.0058794848882826045,-0.012550338396977168
-0.02340344144613482,-0.006885425136715639,-0.012527684702945407
-0.02416930510662496,-0.0051508495744201355,-0.011045676728826948
-0.02488949576218147,-0.004413399892655434,-0.009302319995185826
-0.02499234688002616,-0.004736126356874593,-0.010238923096039798
-0.025274272047681734,-0.0043913610170420725,-0.013383831173996441
-0.025192695829900913,-0.0036311794247012585,-0.016592059182585217
-0.024450251657981426,-0.003394632130948594,-0.018455932149663568
-0.024319766453118064,-0.005430795226857299,-0.01912091283884365
-0.025254128559026867,-0.008655353667563759,-0.019470553525025025
-0.026871917725657113,-0.010849627869902179,-0.019866698494297452
-0.027180543838767335,-0.011688512131513562,-0.022321757569443434
-0.027177702577318996,-0.010732574992289301,-0.025780824216781184
-0.027490183128975332,-0.011928399544558488,-0.02701824087125715
-0.02646198663569521,-0.01324356890108902,-0.027165364372194745
-0.024893926820368506,-0.012874079402536154,-0.027353791665518656
-0.023613496523466893,-0.013054740520601626,-0.028200814995216206
-0.024821616534609348,-0.0145596350193955,-0.029812466891598888
-0.027548549041966908,-0.014032838407729287,-0.029681308660656214
-0.028905442377435975,-0.01113781127060065,-0.029885675758123398
-0.027454318114905618,-0.010244827535643708,-0.0303392625937704
-0.027048634365200996,-0.00979329433903331,-0.027586263968260027
-0.028515842132037506,-0.00720736761650187,-0.02401405254204292
-0.028750910132657737,-0.005828382199979387,-0.022814587282482535
-0.026914167392533273,-0.0048248207349388395,-0.020438121282495558
-0.026438987333676778,-0.0036347128116176464,-0.01893798435048666
-0.026774041543831117,-0.0031929432680044556,-0.018506612832425162
-0.027098038117401302,-0.002869631543944706,-0.019200642782379873
-0.027104786568088457,-0.0029859356800443493,-0.018165639630751684
-0.02686286643438507,-0.00372502404388797,-0.013322855011210777
-0.02608121940284036,-0.00418064882978797,-0.008009600605873857
-0.02658408266142942,-0.003765946303246892,-0.005082192728877999
-0.02825223964464385,-0.003756194246307132,-0.005286326540954178
-0.028034130082232878,-0.003332548658363521,-0.006346856935124379
-0.02680784928088542,-0.002873505536626908,-0.007449564691341948
