Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used.1,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
118.0,19845.979791,10484.711586,6039.642518,5766.928883,5019.553604,6722.555366,-15552.097923,-17844.626945,-7769.913408,-7094.644856,5717.889156,19894.617187,7408.016313,18196.868085,6729.171482,-2906.844366,-0.002,-0.007,1.0155,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920739,0.0
120.0,19542.599564,10173.240027,5732.41779,5459.346528,4719.637897,6413.520147,-15859.277947,-18150.711733,-7878.788755,-7198.267543,5614.691152,19792.514419,7311.970867,18094.430041,6642.491417,-3005.616725,-0.002,-0.007,1.0155,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.92075,0.0
122.0,19800.069308,10431.894413,5987.920581,5711.27304,4974.805412,6667.950054,-15602.836383,-17891.252684,-7977.784631,-7303.924239,5514.153005,19696.334862,7212.57266,17985.331176,6537.773494,-3109.105302,-0.002,-0.007,1.0155,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920761,0.0
124.0,19690.679871,10322.952011,5873.323187,5602.129472,4867.964073,6562.628634,-15716.919686,-18003.011406,-7728.607384,-7057.429201,5758.412869,19940.304153,7449.925834,18230.462757,6775.596055,-2867.214723,0.001,-0.0085,1.00775,192.0,0.0,16.0,127.5,88.0,15.5,32.0,0.0,0.0,0.0,1771318166.920772,0.0
126.0,19596.310806,10237.85892,5786.754881,5514.644744,4780.322883,6470.360633,-15801.565743,-18089.870285,-8032.680515,-7354.528589,5459.614749,19645.81992,7153.76522,17935.307972,6490.56661,-3165.252884,0.001,-0.0085,1.00775,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920783,0.0
128.0,19828.858355,10461.421068,6025.315049,5750.455648,5010.031761,6705.94802,-15561.262138,-17854.282898,-7775.568399,-7110.089911,5719.409075,19891.107963,7406.764615,18177.667937,6732.770113,-2905.726779,0.001,-0.0085,1.00775,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920795,0.0
130.0,19537.928049,10172.345957,5728.57329,5454.496199,4719.704952,6416.202356,-15859.300299,-18149.728256,-7891.573953,-7216.506567,5606.018675,19782.769058,7300.415015,18075.229892,6638.378696,-3011.651696,0.001,-0.0085,1.00775,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920806,0.0
132.0,19800.069308,10445.752495,5995.654284,5715.318705,4984.617827,6685.920857,-15595.616769,-17884.658919,-7971.839067,-7302.158451,5521.707895,19697.564208,7218.808796,17989.466249,6546.982413,-3104.254973,0.001,-0.0085,1.00775,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920817,0.0
134.0,19707.689548,10338.732343,5889.930533,5611.003114,4879.542277,6575.302073,-15703.151012,-17989.198028,-7718.30323,-7050.678974,5770.72868,19943.947487,7464.543875,18244.767874,6790.750538,-2852.574331,0.0015,-0.00925,1.004875,192.0,0.0,8.0,127.5,88.0,15.5,40.0,0.0,0.0,0.0,1771318166.920828,0.0
136.0,19597.026062,10229.14174,5783.335064,5513.549508,4764.900179,6466.560837,-15803.756214,-18092.686605,-8027.494911,-7351.578158,5467.862543,19643.361228,7165.16461,17938.325457,6497.272134,-3155.485172,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.92084,0.0
138.0,19837.061445,10475.346205,6016.955497,5746.119409,4990.183412,6698.750758,-15566.380688,-17858.28386,-7777.065966,-7109.419359,5712.010647,19888.783382,7398.673284,18187.972091,6718.532052,-2912.409951,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920852,0.0
140.0,19548.05339,10176.682195,5728.640345,5455.747897,4709.221984,6401.405502,-15859.613223,-18147.247213,-7896.625447,-7216.864194,5600.453091,19781.718526,7292.748367,18063.562282,6619.267955,-3026.716772,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920863,0.0
142.0,19805.992521,10439.136379,5984.389005,5710.848357,4968.233999,6666.586598,-15604.579819,-17889.039861,-7965.915855,-7287.071024,5528.525177,19705.588484,7220.731046,17997.758746,6543.182617,-3102.846814,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920874,0.0
144.0,19699.352348,10337.92768,5890.422272,5618.043914,4880.011663,6582.0523,-15699.552381,-17986.851095,-7728.42857,-7055.819876,5764.514895,19941.578202,7459.87236,18228.875784,6774.590227,-2864.420755,0.0015,-0.00925,1.004875,192.0,0.0,0.0,127.5,104.0,15.5,64.0,0.0,0.0,0.0,1771318166.920885,0.0
146.0,19586.788963,10233.857958,5781.390462,5505.50288,4768.007072,6462.604578,-15806.639589,-18099.615645,-8020.632925,-7347.152513,5473.003444,19650.782007,7172.116002,17939.331286,6499.328494,-3153.317053,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920896,0.0
148.0,19833.284001,10472.306367,6016.642572,5741.760819,5003.125072,6697.655523,-15570.180484,-17864.229425,-7781.670425,-7113.822653,5708.389665,19884.670661,7401.936639,18173.711678,6722.890642,-2915.628602,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920907,0.0
150.0,19538.375084,10176.369271,5721.174863,5451.143438,4717.559185,6407.775749,-15868.173941,-18156.411428,-7890.366958,-7212.751474,5600.117815,19784.19957,7299.386835,18075.609872,6632.880167,-3020.92767,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920918,0.0
152.0,19817.973056,10448.144132,5994.290828,5722.091284,4985.601304,6679.036519,-15594.745051,-17879.875646,-7974.655387,-7300.370312,5513.95184,19697.72067,7214.047875,17978.133914,6539.00284,-3112.122787,0.0015,-0.00925,1.004875,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920929,0.0
154.0,19708.47186,10342.487436,5889.751719,5616.278126,4882.626818,6575.369129,-15700.066471,-17982.55956,-7720.180776,-7045.403963,5776.003692,19955.436284,7468.83541,18240.945726,6789.163564,-2854.965968,-0.00025,-0.011625,1.003437,192.0,127.5,120.0,127.5,72.0,15.5,40.0,0.0,0.0,0.0,1771318166.920941,0.0
156.0,19597.316634,10231.466321,5785.257314,5511.828424,4775.338444,6464.057441,-15801.185763,-18091.47961,-8013.90505,-7343.375068,5480.424223,19652.436036,7175.28995,17943.041675,6504.938782,-3153.093535,-0.00025,-0.011625,1.003437,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920951,0.0
158.0,19834.803919,10468.171295,6028.801921,5749.360412,5012.71397,6702.818776,-15561.128028,-17855.020506,-7780.351672,-7116.750731,5709.015514,19881.921396,7403.769482,18173.957547,6721.929517,-2922.021201,-0.00025,-0.011625,1.003437,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920963,0.0
160.0,19545.639401,10184.281788,5729.46736,5449.176484,4721.023705,6410.837938,-15865.402325,-18152.566928,-7877.179429,-7205.889488,5611.383094,19791.463887,7312.820233,18082.293043,6642.670231,-3018.312516,-0.00025,-0.011625,1.003437,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920974,0.0
162.0,19795.666015,10434.442512,5985.417185,5708.993162,4972.033795,6675.661406,-15608.558429,-17895.655977,-7984.69132,-7308.528699,5507.603944,19684.801362,7208.683456,17979.318557,6533.146683,-3117.15193,-0.00025,-0.011625,1.003437,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.920985,0.0
164.0,19701.29695,10336.988907,5882.71092,5608.857347,4870.400413,6567.05428,-15710.16946,-17996.797621,-7718.347933,-7051.349527,5771.332177,19948.194319,7465.147372,18229.009894,6783.933256,-2856.15061,-0.001125,-0.013813,1.004719,192.0,127.5,120.0,127.5,64.0,15.5,56.0,0.0,0.0,0.0,1771318166.920997,0.0
166.0,19601.786983,10233.701495,5786.374901,5512.834252,4770.085784,6458.938892,-15800.716376,-18089.982044,-8017.816605,-7350.974661,5472.176429,19654.112417,7167.042156,17932.916335,6493.628799,-3157.608587,-0.001125,-0.013813,1.004719,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921008,0.0
168.0,19843.297582,10477.559027,6029.271308,5749.919206,5003.303886,6698.39313,-15559.317536,-17851.757151,-7773.310873,-7111.140443,5721.934822,19894.52778,7410.162081,18171.051821,6718.934383,-2921.820035,-0.001125,-0.013813,1.004719,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921019,0.0
170.0,19542.912488,10178.224466,5735.725848,5450.897569,4719.16851,6404.512394,-15858.428581,-18148.49891,-7882.812069,-7212.550308,5616.389885,19791.039204,7315.949478,18064.05402,6634.131865,-3024.928632,-0.001125,-0.013813,1.004719,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.92103,0.0
172.0,19801.49982,10444.41139,5990.334569,5702.131176,4978.873429,6663.703223,-15606.591476,-17895.097184,-7969.112154,-7309.422768,5522.66902,19691.95392,7223.659125,17983.185408,6541.036849,-3119.141235,-0.001125,-0.013813,1.004719,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921041,0.0
