Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used.1,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.0,14954.769904,8114.197327,4205.033684,5412.139644,4422.717324,4106.864823,-18508.563162,-20537.47571,-11338.659983,-1307.934679,3249.921292,19372.234568,7821.277716,15491.614102,8956.746335,-4522.406104,0.004,-0.012,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278511,101.0
92.0,15171.827694,8329.265813,4421.867957,5629.286841,4639.842169,4324.839035,-18292.555904,-20323.971847,-11707.150842,-1683.734558,2875.8872,18997.753441,7452.809209,15117.021217,8507.096291,-4899.502385,0.004,-0.012,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278569,0.0
94.0,15281.015966,8441.09159,4527.971688,5735.949366,4748.739868,4424.147835,-18184.351109,-20212.302531,-11187.986873,-1160.99431,3395.788776,19518.45968,7970.475611,15633.480624,8973.152515,-4384.987579,0.004,-0.01,1.01,192.0,0.0,16.0,127.5,96.0,15.5,72.0,0.0,0.0,0.0,1771320315.278614,0.0
96.0,14896.431851,8056.194551,4144.192236,5348.973614,4363.284035,4038.870816,-18568.667003,-20595.232617,-11616.15689,-1584.626923,2970.56919,19095.274102,7540.316289,15217.648771,8708.641971,-4813.559927,0.004,-0.01,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278655,0.0
98.0,15419.127395,8578.57717,4667.826553,5872.674986,4884.593771,4566.595503,-18045.233851,-20072.559425,-11408.598591,-1380.533145,3177.032253,19300.753689,7746.287614,15416.825165,8689.330064,-4600.793672,0.004,-0.01,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278696,0.0
100.0,14991.560875,8153.022308,4238.091914,5444.102638,4458.524818,4134.312765,-18474.07442,-20499.902427,-11292.861258,-1261.845381,3291.584944,19419.106176,7863.902493,15537.345771,8997.001826,-4486.017464,0.004,-0.01,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278725,0.0
102.0,15201.533163,8359.306557,4452.981586,5655.550141,4664.227922,4345.939081,-18261.665793,-20287.382041,-11662.223835,-1636.259453,2921.417704,19050.280041,7490.963637,15165.815075,8543.931966,-4861.280902,0.004,-0.01,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278741,0.0
104.0,15297.198629,8458.548302,4545.830732,5752.959043,4767.694148,4442.498617,-18166.827341,-20191.78363,-11180.655501,-1152.746517,3407.411683,19534.754102,7976.130602,15643.650668,8981.534419,-4383.780585,0.004,-0.01,1.01,192.0,0.0,0.0,127.5,96.0,15.5,88.0,0.0,0.0,0.0,1771320315.278757,0.0
106.0,14910.289933,8069.292673,4156.776268,5364.709242,4381.210134,4059.255607,-18555.837101,-20580.391059,-11603.237582,-1569.204219,2981.186268,19112.93198,7557.88476,15221.672085,8719.057884,-4798.070168,0.004,-0.01,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278772,0.0
108.0,15398.228514,8557.275958,4645.497161,5853.228969,4871.719166,4551.95511,-18067.473837,-20091.71487,-11397.109794,-1372.575924,3183.469556,19311.594285,7762.962015,15433.477215,8701.265896,-4593.618762,0.004,-0.01,1.01,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771320315.278788,0.0
