Trial-ID,Status,Iteration,activation,batch_size,dropout,learning_rate,lstm_layers,num_hidden_units,Objective,avg_train_loss
1,INTERMEDIATE,0,elu,16,0.18524918934453094,0.0006350373354660275,3,61,1.5604702234268188,1.6053093671798706
1,INTERMEDIATE,1,elu,16,0.18524918934453094,0.0006350373354660275,3,61,1.2173138856887817,1.3078462137625768
1,INTERMEDIATE,2,elu,16,0.18524918934453094,0.0006350373354660275,3,61,1.048817949635642,0.9633697110873002
1,INTERMEDIATE,3,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.9152984959738595,0.8601260483264923
1,INTERMEDIATE,4,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.8483721358435494,0.7636107481442965
1,INTERMEDIATE,5,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.7576909065246582,0.6969417998423943
1,INTERMEDIATE,6,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.6909031527382987,0.6457976504014089
1,INTERMEDIATE,7,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.6447898830686297,0.6126787616656377
1,INTERMEDIATE,8,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.6379196260656629,0.5486808774562982
1,INTERMEDIATE,9,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.6181520564215524,0.5292496635363653
1,INTERMEDIATE,10,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5770059653690883,0.5132854259931124
1,INTERMEDIATE,11,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5549804312842233,0.4978475616528438
1,INTERMEDIATE,12,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5734219040189471,0.4901161973293011
1,INTERMEDIATE,13,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5425236182553428,0.47905395122674793
1,INTERMEDIATE,14,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5592146984168461,0.45642853012451756
1,INTERMEDIATE,15,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4863267200333731,0.4662975250528409
1,INTERMEDIATE,16,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5828290624277932,0.4951957040108167
1,INTERMEDIATE,17,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.568652732031686,0.455951737669798
1,INTERMEDIATE,18,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.561193436384201,0.43642548758250016
1,INTERMEDIATE,19,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5579145891325814,0.4380413110439594
1,INTERMEDIATE,20,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5575176988329206,0.4457325293467595
1,INTERMEDIATE,21,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5332549810409546,0.4460664311280617
1,INTERMEDIATE,22,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5806679001876286,0.4375994744209143
1,INTERMEDIATE,23,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.49799956594194683,0.43375548949608433
1,INTERMEDIATE,24,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5616407990455627,0.4536215548331921
1,INTERMEDIATE,25,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5405226307255881,0.4271982048566525
1,INTERMEDIATE,26,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4983518975121634,0.42433519202929276
1,INTERMEDIATE,27,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5374356806278229,0.4041120415696731
1,INTERMEDIATE,28,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5583919371877398,0.40688080111375224
1,INTERMEDIATE,29,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5330335540430886,0.4067741552224526
1,INTERMEDIATE,30,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5492710641452244,0.42058560252189636
1,INTERMEDIATE,31,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5243742423398154,0.40728572469491225
1,INTERMEDIATE,32,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.6218299354825702,0.39767484137645137
1,INTERMEDIATE,33,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.47820935930524555,0.37563565402076793
1,INTERMEDIATE,34,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.482196460877146,0.3912190938225159
1,INTERMEDIATE,35,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.521914643900735,0.3721560795719807
1,INTERMEDIATE,36,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5327244869300297,0.3666377801161546
1,INTERMEDIATE,37,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4957055279186794,0.38151243271735996
1,INTERMEDIATE,38,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.45290873306138174,0.3630384155190908
1,INTERMEDIATE,39,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5262446190629687,0.34623321948143154
1,INTERMEDIATE,40,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.522226618868964,0.3218122399770297
1,INTERMEDIATE,41,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.48785439346517834,0.3360372604085849
1,INTERMEDIATE,42,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4240680124078478,0.3239988340781285
1,INTERMEDIATE,43,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4420903005770275,0.3696503180723924
1,INTERMEDIATE,44,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5245958204780307,0.3035987839102745
1,INTERMEDIATE,45,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3925285850252424,0.30605404967298877
1,INTERMEDIATE,46,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.39246041966336115,0.27364116076093453
1,INTERMEDIATE,47,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.40130465797015596,0.2854060802895289
1,INTERMEDIATE,48,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3118211882455008,0.268133150270352
1,INTERMEDIATE,49,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.34570700568812235,0.26713838829444003
1,INTERMEDIATE,50,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3239449645791735,0.26396246483692754
1,INTERMEDIATE,51,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3358547219208309,0.25760047281017673
1,INTERMEDIATE,52,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3303562083414623,0.2455800181398025
1,INTERMEDIATE,53,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3297549550022398,0.2501208604528354
1,INTERMEDIATE,54,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.36801576614379883,0.24042476025911477
1,INTERMEDIATE,55,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3309697210788727,0.2344753174827649
1,INTERMEDIATE,56,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3674007420028959,0.24021561902302963
1,INTERMEDIATE,57,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3858789460999625,0.23577477439091757
1,INTERMEDIATE,58,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5110382437705994,0.23534834642822927
1,INTERMEDIATE,59,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.32304600306919645,0.2909482210301436
1,INTERMEDIATE,60,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.31647853034415413,0.24389663940438858
1,INTERMEDIATE,61,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3186105840972492,0.26033423067285466
1,INTERMEDIATE,62,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.32986145839095116,0.24261623219801828
1,INTERMEDIATE,63,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.2876843054379736,0.25129404936272365
1,INTERMEDIATE,64,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.3117826208472252,0.22792949842718932
1,INTERMEDIATE,65,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.27339987669672283,0.20360251917288855
1,INTERMEDIATE,66,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.22284025911773955,0.18014732805582193
1,INTERMEDIATE,67,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.2083469916667257,0.1647614875378517
1,INTERMEDIATE,68,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4278806086097445,0.1525370877665969
1,INTERMEDIATE,69,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.49158582517078947,0.3558415461045045
1,INTERMEDIATE,70,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.39386299891131266,0.23998066209829771
1,INTERMEDIATE,71,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.28081412400518146,0.2121321510236997
1,INTERMEDIATE,72,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.30835017269211157,0.22579673090233252
1,INTERMEDIATE,73,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4899361325161798,0.2754412622979054
1,INTERMEDIATE,74,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5226786072765078,0.36186154587910724
1,INTERMEDIATE,75,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4529511162212917,0.33985241731772053
1,INTERMEDIATE,76,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.577691097344671,0.33712609513447833
1,INTERMEDIATE,77,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.4124327727726528,0.32644657160227114
1,INTERMEDIATE,78,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.5020656649555478,0.2791238490205545
1,INTERMEDIATE,79,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.35272430947848726,0.2809200888642898
1,INTERMEDIATE,80,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.33702135724680765,0.21571931407715267
1,INTERMEDIATE,81,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.33925006432192667,0.1932307006074832
1,INTERMEDIATE,82,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.27425833152873175,0.17569872908867323
1,INTERMEDIATE,83,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.24801200202533177,0.15351616075405708
1,INTERMEDIATE,84,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.30671965863023487,0.13558858002607638
1,INTERMEDIATE,85,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.24831987278802053,0.14722993443361843
1,INTERMEDIATE,86,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.21410133875906467,0.1346263590340431
1,INTERMEDIATE,87,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.2183586923139436,0.10747505699356015
1,INTERMEDIATE,88,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.19628137616174562,0.12784601461428863
1,INTERMEDIATE,89,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.28222651353904177,0.10837843369406003
1,INTERMEDIATE,90,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.18271248787641525,0.10603733468227662
1,INTERMEDIATE,91,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.17397967619555338,0.09494307279013671
1,INTERMEDIATE,92,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.18377464690378734,0.10126404765133674
1,INTERMEDIATE,93,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.18907124336276734,0.11687505001632068
1,INTERMEDIATE,94,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.20070271513291768,0.11900520328289041
1,INTERMEDIATE,95,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1750613313966564,0.1057223854944683
1,INTERMEDIATE,96,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.18459402796413218,0.09978135739668058
1,INTERMEDIATE,97,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.18206421053037047,0.10484452681759229
1,INTERMEDIATE,98,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.2030559139592307,0.09951962201068035
1,INTERMEDIATE,99,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1928573442356927,0.09286887628527787
1,INTERMEDIATE,100,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.2173506005534104,0.07707683627422039
1,INTERMEDIATE,101,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1767090926212924,0.0835846456555793
1,INTERMEDIATE,102,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.18094939671989,0.0692942151799798
1,INTERMEDIATE,103,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.16196314431726933,0.06984362917808959
1,INTERMEDIATE,104,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1681344700711114,0.08190191193268849
1,INTERMEDIATE,105,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.24873706831463746,0.09195010700764564
1,INTERMEDIATE,106,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.19995189777442388,0.06905471816515693
1,INTERMEDIATE,107,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1844491739757359,0.056958189162497334
1,INTERMEDIATE,108,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1585346031934023,0.06363121506113273
1,INTERMEDIATE,109,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.1531081105183278,0.09120597385873015
1,INTERMEDIATE,110,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.10764319033894156,0.03548602029108084
1,INTERMEDIATE,111,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.10397636401467025,0.037385362872065835
1,INTERMEDIATE,112,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.10314939749826278,0.032998587349608824
1,INTERMEDIATE,113,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.11976937089847135,0.034183201675589844
1,INTERMEDIATE,114,elu,16,0.18524918934453094,0.0006350373354660275,3,61,0.22822848201862403,0.12184837839315431
